"legenda","descricao","count","sum"
"A","Água",386252,16509966.601599239
"Ac","Agricultura anual / Geral",1264531,48830612.78629904
"Ap","Pastagem",4967785,182929016.65370283
"CS","Corte Seletivo",4005,831905.7899999993
"FM","Floresta Manejada",572874,221563290.28660944
"FNM","Floresta Não Manejada",1568314,262641966.0854138
"FSec","Floresta secundária",2604406,25036154.67539925
"GM","Campo Manejado",11324,3175228.9552000035
"GNM","Campo Não Manejado",91364,11722087.990899934
"Min","Mineração",28677,394416.29959999875
"NO","Não observado",7540,141195.8965999999
"OFLM","Outras formações lenhosas manejadas",28004,10651230.706499979
"OFLNM","Outras formações lenhosas não manejadas",134470,24097021.652400024
"OFLSec","Outras formações lenhosas secundárias",91666,1498302.731500005
"Ref","Reflorestamento",294092,11056481.60989996
"Res","Reservatório",93308,3952387.781999992
"S","Área construída",117153,4233123.544100016
"SE","Solo Exposto",1707,218934.82320000004
